song_id,danceability,energy,key,loudness,mode,explicit,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1RiWf4pUr9DqnTvlbsA63u,0.742,0.477,2.0,-13.187,1.0,0.0,0.0412,0.427,0.333,0.315,0.626,127.235
3jmbIhguc5uxiOdZ7ak8H3,0.473,0.552,2.0,-6.621,1.0,0.0,0.0302,0.252,9.12e-05,0.288,0.276,79.486
7mYUeJq8M8S8kzDZUs6o23,0.433,0.667,2.0,-6.431,0.0,0.0,0.0263,0.00316,0.018,0.0658,0.243,91.017
67FLsDJIE22Rc6lWUIPPsD,0.455,0.997,1.0,-4.992,0.0,0.0,0.0633,8.36e-06,0.898,0.138,0.529,110.021
2mQkQkXknDhryo5UooEceK,0.439,0.875,7.0,-6.829,1.0,0.0,0.0632,0.0839,0.000828,0.395,0.866,154.863
3ocb4pWgereeXDO7hTXQN6,0.62,0.0942,0.0,-19.173,1.0,0.0,0.0575,0.93,4.17e-05,0.124,0.282,134.335
5Pj5zrq2nbKcAekH1AxbrO,0.362,0.183,3.0,-16.0,0.0,0.0,0.0347,0.861,0.000234,0.0932,0.2,136.646
4H6tP1UENsG8xkGHgZqjom,0.689,0.124,1.0,-16.399,1.0,0.0,0.0322,0.894,0.00411,0.0956,0.253,100.362
4nbP22GpSsGXceJ9xSpWKx,0.595,0.386,2.0,-12.843,1.0,0.0,0.112,0.637,0.0012,0.117,0.659,93.571
5fpizYGbi5IQoEraj6FP0R,0.734,0.864,2.0,-6.119,1.0,0.0,0.303,0.022,9.85e-06,0.246,0.47,105.932
0ge1WFjPBWnfPz0JnlC212,0.292,0.881,11.0,-5.754,0.0,0.0,0.0475,0.00806,0.000205,0.262,0.427,110.48
4ibzxSKw3a6rtIorruN5GO,0.545,0.899,1.0,-3.41,0.0,0.0,0.0302,0.0989,0.000581,0.131,0.531,152.027
03kZca43rgVgphYctcopJU,0.75,0.722,4.0,-7.032,1.0,0.0,0.0308,0.277,0.00213,0.0627,0.759,97.493
3iypHvZowqXC9DYrsz8h14,0.56,0.56,0.0,-11.478,1.0,0.0,0.098,0.0413,0.0,0.231,0.688,135.939
5MnmTKjatNTY3BJ2DURVjE,0.725,0.4,7.0,-10.934,1.0,0.0,0.077,0.275,2.93e-06,0.0829,0.65,88.131
2cWHN0WK52RGAWHgaDamUA,0.435,0.423,11.0,-8.795,1.0,0.0,0.024,0.0916,0.000659,0.132,0.451,91.137
742hY2twqAjwNYnKkQdilj,0.875,0.862,6.0,-7.694,0.0,0.0,0.062,0.0116,0.000281,0.0658,0.915,118.398
7jqlpEgPLAYpj7ZfESA294,0.472,0.618,5.0,-10.5,0.0,0.0,0.028,0.00215,0.00014,0.129,0.308,150.019
4UQLQJu3DNvVkMVglwElU2,0.669,0.868,0.0,-7.377,1.0,0.0,0.0527,0.033,0.0,0.0991,0.913,107.885
0odGXJAFUKArp6RNvLvvRR,0.429,0.92,11.0,-5.311,0.0,0.0,0.0353,0.000169,6.1e-06,0.554,0.906,153.106
3lVGSM8ExcPEKCXAokpDPb,0.51,0.666,9.0,-5.723,1.0,0.0,0.0311,0.317,5.75e-05,0.0704,0.42,174.043
